INDEX,RESP_THORAX,RESP_ABDOMEN,ACC_VERTICAL,ACC_HORIZONTAL,TIME
105,16368.0,5570.0,28352.0,34800.0,2.1
106,18292.0,8342.0,26368.0,34512.0,2.12
107,21650.0,13356.0,23776.0,32776.0,2.14
108,25432.0,20056.0,23448.0,34256.0,2.16
109,28360.0,25704.0,20232.0,32424.0,2.18
110,29868.0,30504.0,19624.0,29136.0,2.2
111,31204.0,34844.0,24208.0,32264.0,2.22
112,34268.0,36936.0,26864.0,30552.0,2.24
113,38240.0,38080.0,40412.0,25040.0,2.26
114,40772.0,39276.0,34468.0,24049.0,2.28
115,40696.0,40680.0,31888.0,24380.0,2.3
116,39716.0,40328.0,32880.0,27924.0,2.32
117,38492.0,42376.0,31248.0,30024.0,2.34
118,36644.0,44504.0,28752.0,31488.0,2.36
119,35360.0,41300.0,27508.0,34468.0,2.38
120,33804.0,36584.0,26336.0,35964.0,2.4
121,29796.0,32248.0,24892.0,37612.0,2.42
122,25872.0,29912.0,25928.0,41144.0,2.44
123,22684.0,30664.0,26368.0,42252.0,2.46
124,21276.0,33184.0,26836.0,41484.0,2.48
125,23016.0,33472.0,26146.0,40688.0,2.5
126,27872.0,29088.0,26244.0,39900.0,2.52
127,32944.0,25476.0,27480.0,40320.0,2.54
128,37304.0,22468.0,26624.0,40284.0,2.56
129,40896.0,21644.0,24936.0,36768.0,2.58
130,43640.0,20789.0,27072.0,37832.0,2.6
131,44316.0,19468.0,27496.0,27792.0,2.62
132,43000.0,19448.0,19296.0,42876.0,2.64
133,40172.0,19372.0,23536.0,29776.0,2.66
134,36648.0,17252.0,23748.0,30388.0,2.68
135,33728.0,15100.0,24260.0,32408.0,2.7
136,34416.0,13220.0,25936.0,32944.0,2.72
137,38596.0,11572.0,25992.0,32016.0,2.74
138,42116.0,11736.0,29276.0,32688.0,2.76
139,44104.0,13588.0,24556.0,31236.0,2.78
140,43516.0,13620.0,26048.0,33032.0,2.8
141,40176.0,12716.0,27328.0,33120.0,2.82
142,35808.0,14528.0,27560.0,32948.0,2.84
143,31960.0,18924.0,27488.0,33004.0,2.86
144,28392.0,23456.0,27248.0,32928.0,2.88
145,24960.0,25852.0,27072.0,32864.0,2.9
146,21848.0,25568.0,27176.0,32836.0,2.92
147,19180.0,24124.0,27092.0,32448.0,2.94
148,16888.0,22728.0,26456.0,32352.0,2.96
149,15004.0,21828.0,26192.0,33404.0,2.98
150,14500.0,20504.0,26244.0,33196.0,3.0
151,15832.0,17868.0,27704.0,33640.0,3.02
152,17544.0,15405.0,28004.0,34968.0,3.04
153,18880.0,13316.0,26156.0,34420.0,3.06
154,20132.0,11880.0,21920.0,33080.0,3.08
155,22412.0,13092.0,21440.0,29748.0,3.1
156,26552.0,15956.0,22676.0,32384.0,3.12
157,31488.0,19876.0,23652.0,30248.0,3.14
158,35808.0,26056.0,25332.0,29600.0,3.16
159,38820.0,31036.0,32080.0,31960.0,3.18
160,39904.0,35496.0,38576.0,25176.0,3.2
161,38792.0,39344.0,31980.0,27232.0,3.22
162,36184.0,41992.0,31728.0,25604.0,3.24
163,32880.0,43596.0,31816.0,28992.0,3.26
164,30424.0,46112.0,30010.0,29864.0,3.28
165,29396.0,48428.0,28196.0,31532.0,3.3
166,30112.0,50176.0,26936.0,33688.0,3.32
167,31072.0,49128.0,25800.0,36336.0,3.34
168,29616.0,45176.0,25012.0,38412.0,3.36
169,25888.0,41176.0,25268.0,41080.0,3.38
170,22576.0,40512.0,26298.0,42576.0,3.4
171,20082.0,43252.0,27968.0,42780.0,3.42
172,18768.0,46440.0,28496.0,40380.0,3.44
173,17744.0,48868.0,28088.0,39080.0,3.46
174,16984.0,50588.0,28812.0,38656.0,3.48
175,17066.0,52136.0,27252.0,37232.0,3.5
176,18956.0,53680.0,27016.0,37608.0,3.52
177,22224.0,55212.0,27328.0,37380.0,3.54
178,26504.0,56056.0,26816.0,34364.0,3.56
179,30784.0,55256.0,27064.0,50040.0,3.58
180,33732.0,53668.0,31644.0,26920.0,3.6
181,34596.0,51060.0,26084.0,31004.0,3.62
182,33704.0,45712.0,27120.0,34024.0,3.64
183,31976.0,39792.0,23560.0,30036.0,3.66
