0	19346	25644	27376	32244
0	19484	24648	27384	32460
0	19456	23952	27368	32388
0	19632	23736	27440	32296
0	20612	23244	27400	32404
0	22072	22490	27396	32348
0	23156	21584	27368	32328
0	23916	20570	27380	32344
0	24832	19592	27412	32312
0	25860	18720	27424	32376
0	26856	17952	27364	32256
0	27812	17228	27336	32240
0	28752	16553	27344	32308
0	29632	16044	27496	32296
0	30364	15352	27408	32272
0	30808	14660	27368	32252
0	31016	14093	27312	32256
0	31168	13712	27448	32364
0	31340	13340	27396	32200
0	31540	12976	27400	32184
0	31804	12533	27412	32236
0	32184	12088	27340	32372
0	32628	11612	27404	32240
0	33116	11424	27384	32304
0	33608	11416	27348	32384
0	34100	11098	27384	32304
0	34504	10536	27372	32312
0	34832	9612	27360	32448
0	35088	9008	27336	32320
0	35368	8290	27392	32400
0	35624	7696	27472	32344
0	35792	6548	27440	32264
0	36068	5778	27392	32532
0	35716	5338	27496	32068
0	34052	5253	27456	31968
0	31120	4591	27328	32152
0	28132	4057	27296	32136
0	25932	3730	27368	32144
0	24688	3382	27328	32300
0	23988	2932	27312	32356
0	23296	2678	27376	32264
0	22428	2594	27368	32316
0	21388	2227	27288	32280
0	20338	2066	27344	32164
0	19332	1944	27448	32344
0	18472	2557	27352	32536
0	17680	3517	27368	32552
0	16860	4538	27372	32388
0	15932	4471	27376	32416
0	14900	4065	27396	32304
0	14272	3474	27404	32132
0	14322	2841	27496	31980
0	14996	3680	27360	32352
0	15890	5517	27252	32744
0	16520	8432	27052	32412
0	16332	11186	27032	32148
0	15548	13728	27092	33256
0	15392	16068	27568	33764
0	16596	18472	26464	32516
0	19212	21280	26476	32520
0	22464	24548	26912	33436
0	25976	28216	25300	33252
0	28956	31212	21790	32090
0	31008	32672	18961	28992
0	32540	31736	17694	28125
0	34464	28912	19468	25816
0	37236	27296	26632	37280
0	40560	27424	31944	33992
0	43016	28932	35308	30064
0	43236	30132	32808	27080
0	41560	28084	35736	29584
0	38540	25208	34248	28476
0	35344	27364	33488	29848
0	33880	28424	32332	30208
0	33272	29120	31136	30868
0	30852	29996	29824	31276
0	26840	30002	28768	31408
0	23416	29072	28232	32770
0	20968	28504	27440	33960
0	20312	28756	26600	35248
0	21368	30280	26516	38192
0	22800	32932	26336	39872
0	23356	36204	26264	39584
0	22544	39240	25316	40208
0	20416	41216	25716	41376
0	18560	42688	26440	42124
0	18696	44776	25465	40264
0	21842	47320	26712	38992
0	26368	49544	27368	37224
0	29676	51276	21496	35336
0	31616	53184	36908	38952
0	31840	54656	16600	29496
0	30304	55332	24988	32160
0	28064	51736	26401	32888
0	26312	47576	32640	33736
0	26056	47120	24504	30960
0	27000	49472	25800	31496
0	27376	51068	26968	32896
0	27096	50624	26752	32192
0	26312	48808	27032	31940
0	24836	45704	28288	33672
0	22608	43900	28280	33768
0	20156	42020	27441	33416
0	18316	39296	26736	32232
0	17892	35936	27344	32488
0	19436	33876	27408	33588
0	22460	34316	26568	33268
0	25552	36136	25964	32504
0	27756	36704	26752	33676
0	28808	37204	24840	33312
0	29320	38608	20956	32064
0	29920	41152	18116	29372
0	30848	41616	17202	27816
0	31808	40676	20584	24868
0	32736	42856	30528	31184
0	34332	46048	42104	28976
0	35956	48632	37792	24304
0	36496	50328	34760	25920
0	35568	46656	34300	27660
0	33504	43944	33344	28680
0	31960	47128	30844	30876
0	31928	47632	28792	32262
